"SalesOrderNumber","SalesOrderLineNumber","OrderDate","DueDate","DeliveryDate","StoreKey","ProductKey","PromotionKey","CurrencyKey","CustomerKey","Quantity","NetPrice","UnitCost","UnitPrice","DiscountAmount","DeliveryStatus","IsOrderDelayed"
"20210515413292","1","2021-05-15","2021-05-19","2021-05-24","101","584","11","1","16083","5","76.21","31.56","95.26","19.05","Delayed","1"
"20210515413292","2","2021-05-15","2021-05-19","2021-05-22","470","1994","12","1","16083","4","41.85","24.28","47.62","5.77","Delayed","1"
"20230708025636","1","2023-07-08","2023-07-11","2023-07-11","319","370","1","1","21384","3","191.99","97.88","191.99","0.0","On Time","0"
"20230708025636","2","2023-07-08","2023-07-11","2023-07-11","83","521","1","1","21384","5","129.85","59.72","129.85","0.0","On Time","0"
"20230703119212","1","2023-07-03","2023-07-06","2023-07-08","53","292","1","1","10050","4","250.68","115.28","250.68","0.0","Delayed","1"
"20230703119212","2","2023-07-03","2023-07-06","2023-07-06","343","10","1","1","10050","3","30.08","15.33","30.08","0.0","On Time","1"
"20251213287746","1","2025-12-13","2025-12-18","2025-12-18","251","2102","1","1","12327","4","396.57","182.37","396.57","0.0","On Time","0"
"20251213287746","2","2025-12-13","2025-12-18","2025-12-18","169","752","1","1","12327","7","4.76","2.43","4.76","0.0","On Time","0"
"20250206945423","1","2025-02-06","2025-02-10","2025-02-09","12","2386","1","1","17760","3","200.54","92.22","200.54","0.0","Early Delivery","0"
"20211012743503","1","2021-10-12","2021-10-19","2021-10-25","406","195","1","1","24001","3","320.36","147.32","320.36","0.0","Delayed","1"
"20251201316706","1","2025-12-01","2025-12-05","2025-12-05","445","1245","1","1","11524","3","74.95","42.94","84.23","9.28","On Time","0"
"20250104498505","1","2025-01-04","2025-01-07","2025-01-07","6","723","1","1","14405","3","51.14","26.07","51.14","0.0","On Time","0"
"20250104498505","2","2025-01-04","2025-01-07","2025-01-07","424","2062","1","1","14405","4","100.27","46.11","100.27","0.0","On Time","0"
"20241123684196","1","2024-11-23","2024-11-30","2024-11-30","468","483","1","1","16691","7","38.73","25.3","49.63","10.9","On Time","1"
"20241123684196","2","2024-11-23","2024-11-30","2024-11-30","178","704","1","1","16691","1","109.8","36.38","109.8","0.0","On Time","1"
"20241123684196","3","2024-11-23","2024-11-30","2024-12-02","281","442","1","1","16691","5","135.31","68.99","135.31","0.0","Delayed","1"
"20241123684196","4","2024-11-23","2024-11-30","2024-11-30","339","1835","1","1","16691","4","687.48","408.71","801.66","114.18","On Time","1"
"20241123684196","5","2024-11-23","2024-11-30","2024-11-30","123","459","1","1","16691","3","135.31","68.99","135.31","0.0","On Time","1"
"20220527970154","1","2022-05-27","2022-05-30","2022-05-30","5","1417","1","1","5110","2","134.36","61.79","134.36","0.0","On Time","0"
"20230119004672","1","2023-01-19","2023-01-24","2023-01-24","62","269","1","1","8474","5","205.05","104.54","205.05","0.0","On Time","0"
"20230119004672","2","2023-01-19","2023-01-24","2023-01-24","284","197","1","1","8474","2","150.36","76.66","150.36","0.0","On Time","0"
"20250528790624","1","2025-05-28","2025-06-04","2025-06-04","41","887","1","1","32011","3","25.07","12.78","25.07","0.0","On Time","0"
"20250528790624","2","2025-05-28","2025-06-04","2025-06-04","242","242","1","1","32011","4","445.7","147.67","445.7","0.0","On Time","0"
"20250528790624","3","2025-05-28","2025-06-04","2025-06-04","116","339","1","1","32011","2","441.14","202.86","441.14","0.0","On Time","0"
"20250528790624","4","2025-05-28","2025-06-04","2025-06-04","71","1282","1","1","32011","7","12.53","6.39","12.53","0.0","On Time","0"
"20210722240395","1","2021-07-22","2021-07-26","2021-07-24","2","1510","1","1","37437","1","64.67","32.97","64.67","0.0","Early Delivery","1"
"20210722240395","2","2021-07-22","2021-07-26","2021-07-24","163","1649","1","1","37437","3","130.35","43.19","130.35","0.0","Early Delivery","1"
"20210722240395","3","2021-07-22","2021-07-26","2021-07-29","330","2106","1","1","37437","5","439.94","202.31","439.94","0.0","Delayed","1"
"20210722240395","4","2021-07-22","2021-07-26","2021-08-01","419","472","1","1","37437","5","34.59","17.64","34.59","0.0","Delayed","1"
"20210722240395","5","2021-07-22","2021-07-26","2021-08-01","321","1658","1","1","37437","9","55.14","28.12","55.14","0.0","Delayed","1"
"20230322861615","1","2023-03-22","2023-03-25","2023-03-25","5","1656","1","1","29186","4","80.21","36.88","80.21","0.0","On Time","0"
"20240726559474","1","2024-07-26","2024-07-29","2024-07-29","245","2312","1","1","34207","3","134.61","61.9","134.61","0.0","On Time","0"
"20250901366006","1","2025-09-01","2025-09-06","2025-09-06","207","913","1","1","5094","5","48.08","22.11","48.08","0.0","On Time","0"
"20250307573181","1","2025-03-07","2025-03-14","2025-03-14","259","619","1","1","17035","6","125.84","57.87","125.84","0.0","On Time","0"
"20250307573181","2","2025-03-07","2025-03-14","2025-03-14","10","1939","1","1","17035","4","1604.32","531.54","1604.32","0.0","On Time","0"
"20250911857194","1","2025-09-11","2025-09-18","2025-09-22","191","1059","1","1","20554","3","169.46","77.93","169.46","0.0","Delayed","1"
"20241126380382","1","2024-11-26","2024-12-03","2024-12-03","192","709","1","1","3176","6","58.16","26.74","58.16","0.0","On Time","0"
"20241126380382","2","2024-11-26","2024-12-03","2024-12-03","235","1026","1","1","3176","5","99.27","45.65","99.27","0.0","On Time","0"
"20250512933989","1","2025-05-12","2025-05-18","2025-05-18","86","2040","1","1","16963","3","70.18","35.78","70.18","0.0","On Time","0"
"20241112455867","1","2024-11-12","2024-11-18","2024-11-18","60","198","1","1","35479","4","300.31","138.1","300.31","0.0","On Time","0"
"20241112455867","2","2024-11-12","2024-11-18","2024-11-18","127","1092","1","1","35479","7","337.41","111.79","337.41","0.0","On Time","0"
"20230716686117","1","2023-07-16","2023-07-20","2023-07-20","338","2135","1","1","33591","2","374.0","171.99","374.0","0.0","On Time","0"
"20230716686117","2","2023-07-16","2023-07-20","2023-07-20","165","1788","1","1","33591","4","21.56","10.99","21.56","0.0","On Time","0"
"20241012864440","1","2024-10-12","2024-10-19","2024-10-19","463","2344","1","1","32868","3","134.61","61.9","134.61","0.0","On Time","0"
"20220718718779","1","2022-07-18","2022-07-24","2022-07-24","255","902","1","1","11384","6","22.06","11.25","22.06","0.0","On Time","0"
"20220524200124","1","2022-05-24","2022-05-29","2022-05-29","135","541","1","1","35204","5","350.44","161.15","350.44","0.0","On Time","0"
"20220421198486","1","2022-04-21","2022-04-25","2022-04-25","344","1614","1","1","34293","9","123.21","43.19","130.35","7.14","On Time","0"
"20220421198486","2","2022-04-21","2022-04-25","2022-04-25","129","561","40","1","34293","3","62.17","35.53","69.69","7.52","On Time","0"
"20241227956988","1","2024-12-27","2024-12-30","2024-12-30","235","2385","1","1","26943","3","215.58","99.14","215.58","0.0","On Time","0"
"20241227956988","2","2024-12-27","2024-12-30","2024-12-30","83","1334","1","1","26943","5","18.04","8.3","18.04","0.0","On Time","0"
"20230726888499","1","2023-07-26","2023-08-01","2023-07-31","379","1328","1","1","33006","4","25.06","8.3","25.06","0.0","Early Delivery","0"
"20230726888499","2","2023-07-26","2023-08-01","2023-08-01","295","2329","1","1","33006","3","115.31","53.02","115.31","0.0","On Time","0"
"20241212935606","1","2024-12-12","2024-12-15","2024-12-15","401","1941","1","1","37724","4","247.17","113.66","247.17","0.0","On Time","0"
"20250911225547","1","2025-09-11","2025-09-18","2025-09-18","340","1096","1","1","4803","4","316.85","104.98","316.85","0.0","On Time","0"
"20220901795590","1","2022-09-01","2022-09-07","2022-09-07","172","327","46","1","14759","5","133.24","71.31","139.88","6.64","On Time","0"
"20220901795590","2","2022-09-01","2022-09-07","2022-09-07","441","349","46","1","14759","3","181.49","97.89","192.02","10.53","On Time","0"
"20220901795590","3","2022-09-01","2022-09-07","2022-09-06","338","1722","46","1","14759","3","26.7","14.31","28.08","1.38","Early Delivery","0"
"20220901795590","4","2022-09-01","2022-09-07","2022-09-07","164","749","46","1","14759","5","7.89","3.81","8.27","0.38","On Time","0"
"20220918573341","1","2022-09-18","2022-09-22","2022-09-28","144","107","49","1","15418","2","60.78","30.66","66.67","5.89","Delayed","1"
"20220918573341","2","2022-09-18","2022-09-22","2022-09-28","31","1023","1","1","15418","4","89.74","43.46","94.5","4.76","Delayed","1"
"20251113733317","1","2025-11-13","2025-11-16","2025-11-16","307","764","1","1","32006","4","20.0","6.63","20.0","0.0","On Time","0"
"20251113733317","2","2025-11-13","2025-11-16","2025-11-16","484","465","1","1","32006","4","129.85","59.72","129.85","0.0","On Time","0"
"20251113733317","3","2025-11-13","2025-11-16","2025-11-16","295","292","1","1","32006","4","223.11","115.28","250.68","27.57","On Time","0"
"20251113733317","4","2025-11-13","2025-11-16","2025-11-16","50","1585","1","1","32006","3","11.48","3.8","11.48","0.0","On Time","0"
"20251113733317","5","2025-11-13","2025-11-16","2025-11-16","484","245","1","1","32006","7","245.16","112.74","245.16","0.0","On Time","0"
"20210527791452","1","2021-05-27","2021-06-02","2021-06-05","160","1448","12","1","7569","6","112.81","59.02","128.35","15.54","Delayed","1"
"20210527791452","2","2021-05-27","2021-06-02","2021-06-07","156","899","12","1","7569","4","19.68","11.25","22.06","2.38","Delayed","1"
"20251019362436","1","2025-10-19","2025-10-25","2025-10-31","29","2374","1","1","3879","4","100.27","51.12","100.27","0.0","Delayed","1"
"20241224055902","1","2024-12-24","2024-12-27","2024-12-31","291","1361","1","1","22714","7","25.06","8.3","25.06","0.0","Delayed","1"
"20241224055902","2","2024-12-24","2024-12-27","2024-12-29","341","244","1","1","22714","3","215.08","98.91","215.08","0.0","Delayed","1"
"20241224055902","3","2024-12-24","2024-12-27","2025-01-01","145","1059","1","1","22714","2","169.46","77.93","169.46","0.0","Delayed","1"
"20241224055902","4","2024-12-24","2024-12-27","2024-12-29","311","993","1","1","22714","4","120.83","71.82","140.88","20.05","Delayed","1"
"20251211919863","1","2025-12-11","2025-12-18","2025-12-16","393","152","1","1","6","3","594.09","196.83","594.09","0.0","Early Delivery","0"
"20241205513103","1","2024-12-05","2024-12-10","2024-12-10","92","1684","1","1","35574","4","7.97","2.81","8.47","0.5","On Time","0"
"20241205513103","2","2024-12-05","2024-12-10","2024-12-10","70","1982","1","1","35574","4","247.17","113.66","247.17","0.0","On Time","0"
"20231207351105","1","2023-12-07","2023-12-14","2023-12-14","445","595","1","1","27551","6","125.84","41.69","125.84","0.0","On Time","0"
"20250329376527","1","2025-03-29","2025-04-01","2025-04-01","111","584","1","1","40657","3","95.26","31.56","95.26","0.0","On Time","0"
"20250329376527","2","2025-03-29","2025-04-01","2025-04-01","298","1988","1","1","40657","4","47.62","24.28","47.62","0.0","On Time","0"
"20230915976903","1","2023-09-15","2023-09-21","2023-09-25","301","1170","1","1","4585","3","317.36","145.94","317.36","0.0","Delayed","1"
"20230915976903","2","2023-09-15","2023-09-21","2023-09-26","294","1956","1","1","4585","3","65.17","33.22","65.17","0.0","Delayed","1"
"20241018852958","1","2024-10-18","2024-10-22","2024-10-22","405","2173","1","1","36342","3","81.72","41.66","81.72","0.0","On Time","0"
"20241018852958","2","2024-10-18","2024-10-22","2024-10-22","249","488","1","1","36342","4","24.57","12.52","24.57","0.0","On Time","0"
"20241018852958","3","2024-10-18","2024-10-22","2024-10-22","436","452","1","1","36342","5","98.74","56.22","110.27","11.53","On Time","0"
"20241018852958","4","2024-10-18","2024-10-22","2024-10-20","315","1090","1","1","36342","5","166.45","76.55","166.45","0.0","Early Delivery","0"
"20241018852958","5","2024-10-18","2024-10-22","2024-10-22","73","770","1","1","36342","4","26.52","13.52","26.52","0.0","On Time","0"
"20220902350914","1","2022-09-02","2022-09-06","2022-09-06","342","2293","46","1","30935","2","14.16","7.67","15.04","0.88","On Time","0"
"20220902350914","2","2022-09-02","2022-09-06","2022-09-06","170","1689","46","1","30935","7","2.37","1.27","2.5","0.13","On Time","0"
"20220902350914","3","2022-09-02","2022-09-06","2022-09-06","414","1016","1","1","30935","2","74.2","34.12","74.2","0.0","On Time","0"
"20220902350914","4","2022-09-02","2022-09-06","2022-09-06","153","1286","1","1","30935","2","39.1","19.93","39.1","0.0","On Time","0"
"20230112523301","1","2023-01-12","2023-01-16","2023-01-16","485","1744","1","1","29889","7","14.04","7.16","14.04","0.0","On Time","0"
"20230511676937","1","2023-05-11","2023-05-17","2023-05-15","169","430","1","1","16626","5","135.34","69.0","135.34","0.0","Early Delivery","1"
"20230511676937","2","2023-05-11","2023-05-17","2023-05-19","117","735","1","1","16626","2","104.78","34.72","104.78","0.0","Delayed","1"
"20240321917116","1","2024-03-21","2024-03-25","2024-03-25","42","2083","1","1","22253","1","50.13","25.56","50.13","0.0","On Time","0"
"20240321917116","2","2024-03-21","2024-03-25","2024-03-25","22","1118","1","1","22253","4","167.45","77.0","167.45","0.0","On Time","0"
"20240321917116","3","2024-03-21","2024-03-25","2024-03-25","103","2240","1","1","22253","2","134.61","61.9","134.61","0.0","On Time","0"
"20230615652811","1","2023-06-15","2023-06-18","2023-06-17","350","525","1","1","35192","3","49.63","25.3","49.63","0.0","Early Delivery","0"
"20230615652811","2","2023-06-15","2023-06-18","2023-06-18","458","1840","1","1","35192","7","801.66","408.71","801.66","0.0","On Time","0"
"20230116783265","1","2023-01-16","2023-01-20","2023-01-22","12","1308","1","1","33019","5","14.04","7.16","14.04","0.0","Delayed","1"
"20221130569893","1","2022-11-30","2022-12-07","2022-12-07","88","1086","53","1","13551","4","66.05","70.09","152.41","86.36","On Time","0"
"20250127955596","1","2025-01-27","2025-02-03","2025-02-03","413","2308","1","1","23271","2","40.08","20.44","40.08","0.0","On Time","0"
"20240729798161","1","2024-07-29","2024-08-05","2024-08-05","231","2507","1","1","13131","1","2.38","1.21","2.38","0.0","On Time","0"
"20240729798161","2","2024-07-29","2024-08-05","2024-08-05","225","1651","1","1","13131","2","80.21","36.88","80.21","0.0","On Time","0"
"20211229625014","1","2021-12-29","2022-01-01","2022-01-01","205","1548","1","1","13115","5","133.36","61.33","133.36","0.0","On Time","0"
"20230904131539","1","2023-09-04","2023-09-11","2023-09-11","134","692","1","1","29056","5","124.34","41.2","124.34","0.0","On Time","0"
"20250314107663","1","2025-03-14","2025-03-20","2025-03-20","496","2280","1","1","9318","2","128.22","61.9","134.61","6.39","On Time","0"
"20230605128491","1","2023-06-05","2023-06-11","2023-06-11","117","1047","1","1","24960","6","169.46","77.93","169.46","0.0","On Time","0"
"20241115501844","1","2024-11-15","2024-11-21","2024-11-27","415","1121","1","1","26818","5","218.69","72.46","218.69","0.0","Delayed","1"
"20241115501844","2","2024-11-15","2024-11-21","2024-11-24","229","118","1","1","26818","5","72.44","43.45","85.22","12.78","Delayed","1"
"20230222151884","1","2023-02-22","2023-02-26","2023-03-01","164","889","1","1","24351","2","25.07","12.78","25.07","0.0","Delayed","1"
"20240607034615","1","2024-06-07","2024-06-13","2024-06-13","296","2433","1","1","12569","5","14.58","7.44","14.58","0.0","On Time","0"
"20250625025167","1","2025-06-25","2025-07-02","2025-07-02","380","579","1","1","27885","4","114.81","58.53","114.81","0.0","On Time","0"
"20220402767107","1","2022-04-02","2022-04-09","2022-04-09","75","1092","37","1","26514","2","276.62","111.79","337.41","60.79","On Time","0"
"20220402767107","2","2022-04-02","2022-04-09","2022-04-09","305","1825","43","1","26514","1","12.28","8.18","16.04","3.76","On Time","0"
"20220402767107","3","2022-04-02","2022-04-09","2022-04-09","258","1359","1","1","26514","8","21.55","7.14","21.55","0.0","On Time","0"
"20240524005545","1","2024-05-24","2024-05-28","2024-05-28","479","94","1","1","12474","4","33.79","17.23","33.79","0.0","On Time","0"
"20240524005545","2","2024-05-24","2024-05-28","2024-05-28","83","2175","1","1","12474","5","65.13","33.2","65.13","0.0","On Time","0"
"20240524005545","3","2024-05-24","2024-05-28","2024-05-28","52","695","1","1","12474","3","81.72","37.58","81.72","0.0","On Time","0"
"20230209364108","1","2023-02-09","2023-02-14","2023-02-14","15","1475","1","1","12673","1","115.31","53.03","115.31","0.0","On Time","0"
"20240710141612","1","2024-07-10","2024-07-15","2024-07-15","121","1641","1","1","19327","4","6.35","2.92","6.35","0.0","On Time","0"
"20210609714731","1","2021-06-09","2021-06-12","2021-06-12","363","1969","14","1","28081","2","1344.37","531.54","1604.32","259.95","On Time","0"
"20240618215828","1","2024-06-18","2024-06-23","2024-06-23","316","2013","1","1","25877","6","333.87","110.62","333.87","0.0","On Time","0"
"20240618215828","2","2024-06-18","2024-06-23","2024-06-23","178","1796","1","1","25877","4","21.56","10.99","21.56","0.0","On Time","0"
"20230205763602","1","2023-02-05","2023-02-10","2023-02-10","89","412","1","1","39887","5","191.99","97.88","191.99","0.0","On Time","0"
"20231109776669","1","2023-11-09","2023-11-14","2023-11-14","176","1781","1","1","28001","3","21.56","10.99","21.56","0.0","On Time","1"
"20231109776669","2","2023-11-09","2023-11-14","2023-11-18","210","1761","1","1","28001","3","36.79","16.92","36.79","0.0","Delayed","1"
"20230212421095","1","2023-02-12","2023-02-19","2023-02-17","461","2456","1","1","35718","5","10.02","5.11","10.02","0.0","Early Delivery","1"
"20230212421095","2","2023-02-12","2023-02-19","2023-02-21","315","439","1","1","35718","1","280.26","128.88","280.26","0.0","Delayed","1"
"20240726310479","1","2024-07-26","2024-08-02","2024-08-02","95","2092","1","1","36844","4","396.57","182.37","396.57","0.0","On Time","0"
"20240726310479","2","2024-07-26","2024-08-02","2024-08-02","180","430","1","1","36844","2","135.34","69.0","135.34","0.0","On Time","0"
"20240726310479","3","2024-07-26","2024-08-02","2024-08-02","388","2132","1","1","36844","4","74.7","38.08","74.7","0.0","On Time","0"
"20240726310479","4","2024-07-26","2024-08-02","2024-08-02","412","2114","1","1","36844","6","129.1","65.82","129.1","0.0","On Time","0"
"20240726310479","5","2024-07-26","2024-08-02","2024-08-02","41","2131","1","1","36844","2","81.72","41.66","81.72","0.0","On Time","0"
"20251107131346","1","2025-11-07","2025-11-13","2025-11-13","17","2115","1","1","28409","6","439.94","202.31","439.94","0.0","On Time","0"
"20241119300327","1","2024-11-19","2024-11-22","2024-11-21","62","782","1","1","12151","4","6.49","3.31","6.49","0.0","Early Delivery","0"
"20241119300327","2","2024-11-19","2024-11-22","2024-11-22","352","1339","1","1","12151","6","18.04","8.3","18.04","0.0","On Time","0"
"20210411670011","1","2021-04-11","2021-04-17","2021-04-17","170","1971","1","1","14548","2","247.17","113.66","247.17","0.0","On Time","0"
"20240623872092","1","2024-06-23","2024-06-26","2024-06-26","107","1186","1","1","19129","3","431.16","198.27","431.16","0.0","On Time","0"
"20240623872092","2","2024-06-23","2024-06-26","2024-06-25","67","315","1","1","19129","1","99.77","50.87","99.77","0.0","Early Delivery","0"
"20211122347017","1","2021-11-22","2021-11-27","2021-11-27","35","1893","1","1","22599","1","997.19","458.57","997.19","0.0","On Time","0"
"20230819401804","1","2023-08-19","2023-08-22","2023-08-22","280","2221","1","1","31587","3","15.04","7.67","15.04","0.0","On Time","0"
"20230819401804","2","2023-08-19","2023-08-22","2023-08-22","326","244","1","1","31587","2","215.08","98.91","215.08","0.0","On Time","0"
"20230819401804","3","2023-08-19","2023-08-22","2023-08-22","429","1458","1","1","31587","5","100.27","46.11","100.27","0.0","On Time","0"
"20220726249200","1","2022-07-26","2022-07-29","2022-07-29","247","886","45","1","28765","2","49.51","24.92","75.2","25.69","On Time","0"
"20220726249200","2","2022-07-26","2022-07-29","2022-07-29","204","870","45","1","28765","2","7.13","5.36","10.51","3.38","On Time","0"
"20220726249200","3","2022-07-26","2022-07-29","2022-07-28","458","221","45","1","28765","1","192.14","138.1","300.31","108.17","Early Delivery","0"
"20221213941729","1","2022-12-13","2022-12-16","2022-12-16","367","2015","56","1","9427","3","67.05","41.5","90.24","23.19","On Time","0"
"20221213941729","2","2022-12-13","2022-12-16","2022-12-16","375","139","56","1","9427","3","182.99","115.28","250.67","67.68","On Time","0"
"20231219563096","1","2023-12-19","2023-12-25","2023-12-25","218","108","1","1","23436","3","52.01","30.66","66.67","14.66","On Time","0"
"20231219563096","2","2023-12-19","2023-12-25","2023-12-24","251","418","1","1","23436","3","135.34","69.0","135.34","0.0","Early Delivery","0"
"20241216966716","1","2024-12-16","2024-12-20","2024-12-20","228","1774","1","1","2094","3","21.56","10.99","21.56","0.0","On Time","0"
"20230620279032","1","2023-06-20","2023-06-25","2023-06-27","154","1335","1","1","18789","3","20.15","9.26","20.15","0.0","Delayed","1"
"20251126581441","1","2025-11-26","2025-11-29","2025-11-29","148","345","1","1","11833","7","350.44","161.15","350.44","0.0","On Time","0"
"20240320969549","1","2024-03-20","2024-03-26","2024-03-26","6","2332","1","1","39288","1","40.08","20.44","40.08","0.0","On Time","0"
"20220722925277","1","2022-07-22","2022-07-27","2022-07-27","15","1412","1","1","21841","1","144.89","66.63","144.89","0.0","On Time","0"
"20220722925277","2","2022-07-22","2022-07-27","2022-07-27","205","2149","1","1","21841","4","77.58","41.66","81.72","4.14","On Time","0"
"20220722925277","3","2022-07-22","2022-07-27","2022-07-27","93","278","44","1","21841","6","142.76","92.02","180.49","37.73","On Time","0"
"20220722925277","4","2022-07-22","2022-07-27","2022-07-27","211","2253","45","1","21841","3","10.15","7.67","15.04","4.89","On Time","0"
"20220722925277","5","2022-07-22","2022-07-27","2022-07-27","241","2164","1","1","21841","4","827.23","274.08","827.23","0.0","On Time","0"
"20221209251134","1","2022-12-09","2022-12-13","2022-12-11","311","592","57","1","29552","5","180.36","127.54","250.17","69.81","Early Delivery","0"
"20221209251134","2","2022-12-09","2022-12-13","2022-12-13","146","2232","57","1","29552","4","97.01","61.9","134.61","37.6","On Time","0"
"20210705023675","1","2021-07-05","2021-07-12","2021-07-17","223","2075","1","1","39909","4","90.24","41.5","90.24","0.0","Delayed","1"
"20221111745214","1","2022-11-11","2022-11-18","2022-11-24","305","1438","1","1","2185","3","145.39","66.86","145.39","0.0","Delayed","1"
"20210702228269","1","2021-07-02","2021-07-05","2021-07-05","129","1974","1","1","22041","2","65.17","33.22","65.17","0.0","On Time","0"
"20210702228269","2","2021-07-02","2021-07-05","2021-07-05","120","120","1","1","22041","5","60.16","30.67","60.16","0.0","On Time","0"
"20231115108103","1","2023-11-15","2023-11-19","2023-11-19","147","978","1","1","23402","2","145.39","48.17","145.39","0.0","On Time","0"
"20231115108103","2","2023-11-15","2023-11-19","2023-11-18","357","801","1","1","23402","5","9.98","5.09","9.98","0.0","Early Delivery","0"
"20231115108103","3","2023-11-15","2023-11-19","2023-11-19","27","2453","1","1","23402","4","13.54","7.67","15.04","1.5","On Time","0"
"20231115108103","4","2023-11-15","2023-11-19","2023-11-18","389","1148","1","1","23402","3","211.57","107.87","211.57","0.0","Early Delivery","0"
"20231124581078","1","2023-11-24","2023-12-01","2023-11-29","34","84","1","1","2958","4","50.13","23.05","50.13","0.0","Early Delivery","1"
"20231124581078","2","2023-11-24","2023-12-01","2023-12-05","466","1441","1","1","2958","7","100.27","46.11","100.27","0.0","Delayed","1"
"20210318182498","1","2021-03-18","2021-03-21","2021-03-21","77","631","1","1","723","6","95.26","43.8","95.26","0.0","On Time","0"
"20210318182498","2","2021-03-18","2021-03-21","2021-03-21","143","1000","1","1","723","6","64.67","29.74","64.67","0.0","On Time","0"
"20210318182498","3","2021-03-18","2021-03-21","2021-03-21","160","1672","1","1","723","4","7.22","2.81","8.47","1.25","On Time","0"
"20230325340082","1","2023-03-25","2023-04-01","2023-03-31","314","1169","1","1","19845","5","283.77","130.49","283.77","0.0","Early Delivery","0"
"20230325340082","2","2023-03-25","2023-04-01","2023-04-01","69","6","1","1","19845","5","10.81","5.51","10.81","0.0","On Time","0"
"20230315594469","1","2023-03-15","2023-03-20","2023-03-24","50","1458","1","1","2434","3","83.73","46.11","100.27","16.54","Delayed","1"
"20211225806508","1","2021-12-25","2021-12-28","2021-12-28","439","1343","1","1","27681","5","15.54","5.15","15.54","0.0","On Time","0"
"20211225806508","2","2021-12-25","2021-12-28","2021-12-28","136","246","30","1","27681","4","96.0","84.09","164.94","68.94","On Time","0"
"20211225806508","3","2021-12-25","2021-12-28","2021-12-28","404","1006","30","1","27681","4","90.12","48.17","145.39","55.27","On Time","0"
"20210616750802","1","2021-06-16","2021-06-19","2021-06-18","231","2470","15","1","38461","4","10.28","7.92","15.54","5.26","Early Delivery","0"
"20230731067507","1","2023-07-31","2023-08-05","2023-08-05","456","1606","1","1","12299","2","72.19","36.88","80.21","8.02","On Time","0"
"20230731067507","2","2023-07-31","2023-08-05","2023-08-05","89","722","1","1","12299","3","114.81","38.04","114.81","0.0","On Time","0"
